Loyalty#,Customer Name,TotalLifetimeValue,alert
100018.0,Mina Smida,7919.2,no
100055.0,Sadie Straseskie,39769.56,no
100102.0,Rigoberto Palacio,2887.74,no
100119.0,Rheba Stonum,5146.9,no
100124.0,Soo Schier,2248.45,no
100140.0,Nakesha Klaass,2838.07,no
100171.0,Guillermina Tradup,4636.55,no
100209.0,Concepcion Monteith,4426.38,no
100210.0,Olen Delrio,11154.68,no
100214.0,Loren Juenemann,4170.57,no
100241.0,Melania Mcgarraugh,10820.0,no
100272.0,Siobhan Lander,6622.05,no
100301.0,Ian Hassenfritz,48356.96,no
100305.0,Samual Metos,10179.72,no
100314.0,Alline Colbert,16272.74,no
100334.0,Reyes Thady,6393.87,no
100337.0,Vanita Scotti,5256.92,no
100339.0,Zenia Weidert,8845.76,no
100346.0,Carlena Seipp,17223.07,no
100350.0,Lula Darlington,5799.06,no
100361.0,Nyla Hawn,6925.18,no
100364.0,Cyndy Uva,10287.76,no
100380.0,Brandee Yorn,2465.62,no
100389.0,Rosann Vandyk,7729.38,no
100394.0,Ferne Woytowich,2361.74,no
100428.0,Clelia Wright,5845.43,no
100459.0,Sheila Duell,5635.75,no
100479.0,Malka Hoheisel,8364.5,no
100498.0,Lisbeth Braff,9102.12,no
100504.0,Linette Theunissen,8807.61,no
100513.0,Pedro Cosico,14316.85,no
100518.0,Merideth Azuma,11599.5,no
100522.0,Lurlene Cordas,4566.38,no
100539.0,Andreas Fitterer,6521.37,no
100550.0,Franklin Buffum,7861.8,no
100554.0,Kenneth Hudok,24261.02,no
100585.0,Florrie Pachew,14668.66,no
100588.0,Bruce Ferentz,8652.65,no
100590.0,Lawanda Tollefsrud,34090.04,no
100604.0,Marva Wildes,6608.17,no
100616.0,Melodi Choate,61850.19,yes
100635.0,Irma Wallen,8112.32,no
100642.0,Charise Breckenridge,9785.26,no
100644.0,Marya Swonke,4458.11,no
100646.0,Haley Gollob,8714.130000000001,no
100654.0,Annie Zubrzycki,4472.33,no
100659.0,Linn Leukuma,16667.93,no
100669.0,Larraine Ogborn,7275.89,no
100681.0,Adelia Jakovac,8797.83,no
100716.0,Glory Slogeris,8622.84,no
100727.0,Rachel Raso,3873.65,no
100737.0,Fabian Teranishi,25573.34,no
100753.0,Jeannie Bruin,2534.31,no
100811.0,Ethelyn Dandridge,5342.34,no
100816.0,Jacquline Lemucchi,6273.91,no
100823.0,Keturah Haas,122269.36,yes
100835.0,Lorretta Gainous,17027.4,no
100853.0,Lindsy Hennecke,10153.89,no
100859.0,Iola Ellerkamp,2487.65,no
100876.0,Kiara Gamero,10897.12,no
100881.0,Renay Badura,15272.8,no
100883.0,Wai Tetley,3561.04,no
100890.0,Gertha Revay,8007.4,no
100895.0,Jesus Kemper,11514.88,no
100922.0,Lola Mir,10302.9,no
100937.0,Maximina Corwin,4835.56,no
100975.0,Claudie Sourwine,12521.42,no
100980.0,Tenesha Delph,2980.01,no
100996.0,Antone Oja,6366.23,no
101006.0,Janell Thadison,5227.57,no
101018.0,Victorina Jividen,4392.98,no
101025.0,Elvin Hamblin,5094.52,no
101035.0,Reid Vagle,10043.38,no
101053.0,Gisele Maclellan,2470.12,no
101073.0,Ladawn Gibby,2395.57,no
101074.0,Crista Burigsay,4737.87,no
101092.0,Zetta Schehl,20216.31,no
101100.0,Santa Bogany,5256.92,no
101108.0,Eldon Quinlisk,6731.05,no
101117.0,Jeffrey Braughton,7320.07,no
101122.0,Hwa Scalf,4887.79,no
101148.0,Francine Lovato,4770.55,no
101160.0,Alica Popadiuk,2860.86,no
101168.0,Cherlyn Presume,2272.34,no
101175.0,Delaine Every,5394.91,no
101177.0,Benny Mccrystal,4799.62,no
101204.0,Lakia Courtwright,5544.91,no
101217.0,Sumiko Bready,22855.61,no
101229.0,Victor Trasport,9902.39,no
101242.0,Ada Eurich,2946.0,no
101276.0,Sylvester Wimbs,2464.71,no
101284.0,Suzette Dumar,2764.49,no
101289.0,Jose Lench,12496.050000000001,no
101305.0,Isabel Wippert,21101.21,no
101315.0,Lessie Farnan,39453.98,no
101347.0,Anthony Droy,7007.27,no
101350.0,Victor Jennifer,35692.17,no
101356.0,Nereida Ackerley,7482.64,no
101363.0,Karie Neumeier,38695.770000000004,no
101424.0,Rubin Roudabush,2637.94,no
101443.0,Chanda Siderine,2722.21,no
101446.0,Esperanza Gaton,29134.54,no
101457.0,Tracee Daro,2545.52,no
101487.0,Hilaria Katzenbach,14024.36,no
101515.0,Shona Calk,15474.54,no
101523.0,Evette Herber,7139.72,no
101531.0,Jayna Drey,7724.84,no
101540.0,Carmen Lafontaine,5377.76,no
101544.0,Travis Hutching,64839.92,yes
101547.0,Gerardo Winkle,11239.38,no
101567.0,Gigi Gamino,10758.66,no
101581.0,Mikki Belvins,4595.46,no
101594.0,Jeana Lipitz,5205.75,no
101595.0,Treena Bookamer,10614.64,no
101637.0,Keva Yamanoha,12244.9,no
101641.0,Shenita Skorepa,2822.73,no
101644.0,Andrew Lackey,8382.63,no
101653.0,Madeline Suga,4291.06,no
101662.0,Augustine Lambertus,6862.51,no
101663.0,Gema Kufner,5129.74,no
101664.0,Monica Rosenwald,9002.41,no
101667.0,Cheyenne Unknow,4525.37,no
101685.0,Daniele Prasad,4791.08,no
101698.0,Keely Fernadez,25169.19,no
101709.0,Jaimee Clem,8396.61,no
101710.0,Gaye Caroselli,2824.85,no
101725.0,Shani Wiechec,3508.91,no
101730.0,Roosevelt Kovacich,4376.36,no
101736.0,Spencer Mccament,8632.78,no
101738.0,Samual Sukhram,4731.75,no
101768.0,Raymon Defosses,13916.93,no
101769.0,Roxanna Brege,19582.47,no
101838.0,Deandrea Wassenberg,11630.1,no
101845.0,Gladys Brach,21616.14,no
101848.0,Geraldo Brakeman,15613.95,no
101855.0,Neva Yafai,7706.94,no
101856.0,Maida Gold,2514.59,no
101870.0,Benny Linamen,16973.74,no
101876.0,Allyson Mcratt,9899.06,no
101895.0,Rosario Sloop,24543.2,no
101896.0,Matt Phoenix,14333.92,no
101902.0,Yi Nesti,23483.66,no
101925.0,Jacob Lagesse,12941.73,no
101945.0,Socorro Stcyr,7935.01,no
101950.0,Terry Fusselman,5244.4,no
101958.0,Chas Miesner,5860.48,no
101962.0,August Gandolfi,7548.63,no
101968.0,Latonya Kuhre,23667.54,no
101972.0,Emilee Swett,2677.5,no
101988.0,Lupe Bellace,4923.95,no
101991.0,Lennie Betters,2227.07,no
101994.0,Delmar Ereth,3979.39,no
102028.0,Fabian Noury,5182.46,no
102031.0,Eloy Glasson,2347.05,no
102089.0,Keven Anis,7507.46,no
102100.0,Chelsie Davids,4386.28,no
102129.0,Danelle Bergsjo,4974.8,no
102137.0,Ai Goud,16693.96,no
102143.0,Thanh Biskup,26197.41,no
102145.0,Jeane Roussin,6758.81,no
102146.0,Christinia Luquin,7613.71,no
102152.0,Elane Swarat,6967.26,no
102160.0,Fidelia Rogers,6369.26,no
102162.0,Melany Lamagna,5745.96,no
102168.0,Meda Zeiner,9446.09,no
102184.0,Verena Salberg,4923.18,no
102190.0,Mary Casteel,5418.46,no
102203.0,Alisa Janelle,2393.92,no
