Loyalty#,Customer Name,TotalLifetimeValue,alert,Country,Province or State,City
101544.0,Travis Hutching,64839.92,yes,Canada,Quebec,Montreal
106936.0,Sarah Spraque,57520.5,yes,Canada,Ontario,Kingston
113779.0,Eura Gilio,76920.72,yes,Canada,Quebec,Tremblant
113904.0,Susanne Ladewig,52907.88,yes,Canada,Ontario,Kingston
115852.0,Shanae Altomari,81377.06,yes,Canada,Ontario,Ottawa
149841.0,Mao Beckom,98593.2,yes,Canada,Ontario,Toronto
149993.0,Eleni Pescatore,52269.82,yes,Canada,Quebec,Tremblant
159275.0,Marina Nieder,71710.03,yes,Canada,Quebec,Montreal
160203.0,Suzi Blackington,54393.56999999999,yes,Canada,British Columbia,Dawson Creek
160905.0,Elza Soliday,51163.22,yes,Canada,British Columbia,Vancouver
163405.0,Louvenia Henifin,121112.38,yes,Canada,Quebec,Hull
166846.0,Chieko Bechard,56845.05,yes,Canada,British Columbia,Vancouver
168290.0,Lanita Goldsmith,115337.58,yes,Canada,Ontario,Toronto
169270.0,Tonisha Krail,52607.15,yes,Canada,Alberta,Banff
173446.0,Adriene Dungee,58207.13,yes,Canada,New Brunswick,Moncton
175528.0,Magda Chilcote,83575.8,yes,Canada,Quebec,Quebec City
179870.0,Inge Brunn,66025.75,yes,Canada,Quebec,Montreal
181434.0,Theodora Mojardin,69916.13,yes,Canada,Ontario,Toronto
188071.0,Daina Rheaume,80881.52,yes,Canada,New Brunswick,Fredericton
190524.0,Angel Mcfarland,84778.02,yes,Canada,Quebec,Tremblant
191065.0,Hang Jamili,93541.9,yes,Canada,Ontario,Toronto
196757.0,Meagan Kovacs,58310.88,yes,Canada,Ontario,Trenton
198499.0,Salome Kapsner,53342.56999999999,yes,Canada,New Brunswick,Moncton
198499.0,Salome Kapsner,53342.56999999999,yes,Canada,Quebec,Montreal
203772.0,Charlyn Brigner,51614.12,yes,Canada,British Columbia,Dawson Creek
210815.0,Martin Poock,82741.65,yes,Canada,Ontario,Toronto
217054.0,Sybil Lerch,89590.94,yes,Canada,Alberta,Calgary
219139.0,Donn Reshid,116333.1,yes,Canada,Alberta,Banff
228030.0,Elana Depaoli,58753.88,yes,Canada,British Columbia,Vancouver
235683.0,Ciera Dyser,76110.42,yes,Canada,Quebec,Quebec City
247433.0,Vickie Whittie,76460.42,yes,Canada,British Columbia,Whistler
248356.0,Loris Mouzas,60945.0,yes,Canada,British Columbia,Dawson Creek
248497.0,Linwood Mckie,82286.18,yes,Canada,British Columbia,West Vancouver
251641.0,Debera Mcaninch,67502.64,yes,Canada,Alberta,Edmonton
254361.0,Tajuana Waterer,66623.49,yes,Canada,British Columbia,Kelowna
258296.0,Veola Kellish,105474.75,yes,Canada,Quebec,Montreal
268414.0,Francina Rokus,52692.18,yes,Canada,British Columbia,Dawson Creek
272893.0,Stasia Aharoni,61232.49,yes,Canada,Ontario,Kingston
273054.0,Genie Beerly,69417.74,yes,Canada,British Columbia,Vancouver
276648.0,Jeanne Speaks,62144.81999999999,yes,Canada,Alberta,Edmonton
278013.0,Siu Boris,70372.52,yes,Canada,Ontario,Sudbury
278836.0,Vernice Dorcelus,72536.04000000001,yes,Canada,Ontario,Toronto
300371.0,Lavonna Lancz,61818.44,yes,Canada,British Columbia,Vancouver
302460.0,Suanne Parraga,56675.94,yes,Canada,British Columbia,Whistler
302628.0,Adrian Cashatt,55277.45,yes,Canada,Quebec,Tremblant
309456.0,Else Caho,86581.0,yes,Canada,Quebec,Montreal
318595.0,Lashonda Briede,58764.02,yes,Canada,New Brunswick,Fredericton
323821.0,Page Pinkelton,57659.25,yes,Canada,British Columbia,Vancouver
324997.0,Hyman Supry,50929.64,yes,Canada,British Columbia,Vancouver
333051.0,Raymond Manwill,51426.25,yes,Canada,New Brunswick,Moncton
336665.0,Angelique Zumot,77022.45000000001,yes,Canada,Quebec,Montreal
339371.0,Gene Christler,51611.02,yes,Canada,British Columbia,Whistler
339880.0,Carroll Bichrest,68487.02,yes,Canada,Ontario,Sudbury
344232.0,Santos Zhao,51426.25,yes,Canada,Quebec,Tremblant
344527.0,Anglea Lands,93807.81,yes,Canada,Quebec,Montreal
345765.0,Sean Fostervold,125235.03,yes,Canada,Quebec,Montreal
348600.0,Long Daudelin,50481.67,yes,Canada,British Columbia,Whistler
350486.0,Annamaria Purdue,65722.52,yes,Canada,New Brunswick,Fredericton
351296.0,Ora Rogian,78730.6,yes,Canada,Quebec,Montreal
351937.0,Carlo Stuebe,69397.92,yes,Canada,Saskatchewan,Regina
351937.0,Carlo Stuebe,69397.92,yes,Canada,Ontario,Trenton
364710.0,Estella Hymes,51016.07,yes,Canada,Quebec,Tremblant
370486.0,Mui Pizzi,73144.18000000001,yes,Canada,Ontario,Toronto
372647.0,Krysten Rosazza,64454.16,yes,Canada,British Columbia,Dawson Creek
373888.0,Kina Holsing,68001.56,yes,Canada,British Columbia,Vancouver
376484.0,Katina Kitz,50417.29,yes,Canada,Quebec,Montreal
376725.0,Millard Brickey,76204.56,yes,Canada,Quebec,Hull
379281.0,Yee Pointer,50294.22,yes,Canada,Nova Scotia,Halifax
380262.0,Tamekia Baumohl,66653.91,yes,Canada,British Columbia,Vancouver
395324.0,Cristin Wommack,51471.63,yes,Canada,Quebec,Montreal
401824.0,Delisa Neilan,70125.3,yes,Canada,British Columbia,Dawson Creek
402966.0,Ray Hooten,71075.7,yes,Canada,Alberta,Edmonton
411651.0,Andres Sapinski,60602.75,yes,Canada,Quebec,Montreal
415332.0,Bella Grey,63841.54,yes,Canada,Quebec,Montreal
415381.0,Johnathon Schwass,65552.52,yes,Canada,Ontario,Toronto
420202.0,Genevive Regnier,60670.02,yes,Canada,Ontario,Sudbury
424337.0,Andrew Hunnings,64618.76,yes,Canada,Nova Scotia,Halifax
427177.0,Marylou Lett,125363.7,yes,Canada,Quebec,Montreal
430398.0,Jaimee Mooe,98847.6,yes,Canada,Newfoundland,St. John's
434807.0,Mica Kightlinger,78057.61,yes,Canada,Quebec,Montreal
