Loyalty#,Customer Name,TotalLifetimeValue,alert,Country,Province or State,City
100616.0,Melodi Choate,61850.19,yes,Germany,Bayern,Nurnberg
105490.0,Donetta Vanmarter,51016.07,yes,Germany,Nordrhein-Westfalen,Dusseldorf
111281.0,Haley Villacorta,57482.97,yes,Germany,Bayern,Munchen
112844.0,Aliza Steman,57755.91,yes,Germany,Nordrhein-Westfalen,Dortmund
116286.0,Dorethea Dieteman,59976.61,yes,Germany,Niedersachsen,Hannover
122599.0,Elene Staberg,51058.8,yes,Germany,Bayern,Landshut
123333.0,Marsha Romas,118200.57,yes,Germany,Bayern,Munchen
126631.0,Oleta Mandler,73265.06,yes,Germany,Sachsen,Dresden
131380.0,Cleopatra Goben,70307.01999999999,yes,Germany,Nordrhein-Westfalen,Bonn
131380.0,Cleopatra Goben,70307.01999999999,yes,Germany,Sachsen,Dresden
131715.0,Aleen Millare,51614.12,yes,Germany,Bayern,Landshut
137222.0,Jessia Mcbratney,58013.7,yes,Germany,Bayern,Munchen
141884.0,Kathey Boelter,80264.02,yes,Germany,Bayern,Aachen
144184.0,Tangela Schank,50381.91,yes,Germany,Hessen,Frankfurt
145521.0,Sung Tarpy,58120.93,yes,Germany,Bayern,Munchen
145521.0,Sung Tarpy,58120.93,yes,Germany,Bremen,Bremen
145697.0,Hayley Armada,58654.74,yes,Germany,Baden-Wurttemberg,Mannheim
145697.0,Hayley Armada,58654.74,yes,Germany,Sachsen,Dresden
153379.0,Marica Centini,62443.5,yes,Germany,Sachsen-Anhalt,Magdeburg
155994.0,Ophelia Baab,52035.45,yes,Germany,Rheinland-Pfalz,Mainz
155994.0,Ophelia Baab,52035.45,yes,Germany,Sachsen,Dresden
159275.0,Marina Nieder,71710.03,yes,Germany,Sachsen-Anhalt,Magdeburg
161792.0,Ayanna Enick,76821.2,yes,Germany,Hamburg,Hamburg
163589.0,Otelia Lafera,64771.31999999999,yes,Germany,Baden-Wurttemberg,Leonberg
169035.0,Alesia Malling,77775.8,yes,Germany,Sachsen,Dresden
169887.0,Page Hockman,68180.08,yes,Germany,Niedersachsen,Hannover
172982.0,Fred Wirth,100420.05,yes,Germany,Saarland,Saarbrucken
177390.0,Sha Newborn,72776.13,yes,Germany,Hessen,Frankfurt
181434.0,Theodora Mojardin,69916.13,yes,Germany,Sachsen-Anhalt,Magdeburg
181434.0,Theodora Mojardin,69916.13,yes,Germany,Hamburg,Hamburg
181987.0,Tiffani Favuzza,55875.5,yes,Germany,Bremen,Bremen
185546.0,Seema Deschner,51671.67,yes,Germany,Nordrhein-Westfalen,Koln
188306.0,Michaela Reaux,54031.41,yes,Germany,Berlin,Berlin
188786.0,Martine Mancuso,81273.34,yes,Germany,Mecklenburg-Vorpommern,Schwerin
190879.0,Ronna Furbeck,58753.88,yes,Germany,Bayern,Landshut
196219.0,Jeromy Shepler,71679.9,yes,Germany,Hessen,Frankfurt
197558.0,Hattie Sessions,76891.72,yes,Germany,Bayern,Munchen
198114.0,Geneva Yocham,61437.62,yes,Germany,Hamburg,Hamburg
198674.0,Luis Meisner,61718.72,yes,Germany,Sachsen-Anhalt,Magdeburg
202080.0,Norman Kerslake,77106.33,yes,Germany,Hessen,Frankfurt
208000.0,Peter Monsour,91417.3,yes,Germany,Hessen,Frankfurt
219952.0,Christopher Mccomb,58015.59,yes,Germany,Hessen,Frankfurt
220754.0,Nettie Sauser,58166.55,yes,Germany,Bayern,Munchen
221321.0,Floria Ellebrecht,55424.13,yes,Germany,Berlin,Berlin
227639.0,Mariette Elroy,60009.42,yes,Germany,Nordrhein-Westfalen,Bonn
227841.0,Beatris Mondesir,72458.82,yes,Germany,Hamburg,Hamburg
230366.0,Malisa Kestle,108505.02,yes,Germany,Bayern,Munchen
235843.0,Jacquiline Yonge,56786.66,yes,Germany,Bayern,Munchen
239315.0,Cori Hospelhorn,52925.52,yes,Germany,Baden-Wurttemberg,Leonberg
242160.0,Patria Willhelm,116414.26,yes,Germany,Nordrhein-Westfalen,Dusseldorf
245293.0,Enrique Intrabartolo,64900.78,yes,Germany,Mecklenburg-Vorpommern,Solingen
246230.0,Estrella Mckellar,65354.68,yes,Germany,Hamburg,Hamburg
246732.0,Vicki Pulaski,70372.52,yes,Germany,Bayern,Munchen
247634.0,Hannah Hardan,54664.53,yes,Germany,Bayern,Munchen
251685.0,Genaro Zerbel,50025.28,yes,Germany,Niedersachsen,Hannover
261446.0,Byron March,51800.4,yes,Germany,Nordrhein-Westfalen,Dusseldorf
264237.0,Lyman Dalessandro,127388.91,yes,Germany,Hessen,Russelsheim
266886.0,Katrina Seats,66946.7,yes,Germany,Bremen,Bremen
267051.0,Melany Rothacher,51614.12,yes,Germany,Bayern,Munchen
268927.0,Lakia Vahena,55056.62,yes,Germany,Baden-Wurttemberg,Mannheim
271076.0,Cody Seeber,102852.5,yes,Germany,Nordrhein-Westfalen,Dusseldorf
272893.0,Stasia Aharoni,61232.49,yes,Germany,Nordrhein-Westfalen,Dusseldorf
282054.0,Kori Thessing,55891.78,yes,Germany,Hamburg,Hamburg
283542.0,Hyacinth Hanneken,109548.15,yes,Germany,Baden-Wurttemberg,Freiburg
284065.0,Bobbie Shasky,61818.44,yes,Germany,Baden-Wurttemberg,Leonberg
290315.0,Chastity Casagranda,66310.53,yes,Germany,Bayern,Nurnberg
292392.0,Joellen Madan,69631.38,yes,Germany,Sachsen-Anhalt,Magdeburg
296011.0,Altagracia Aguilera,50859.240000000005,yes,Germany,Baden-Wurttemberg,Leonberg
297723.0,Takako Zitzelberger,52811.49,yes,Germany,Hamburg,Hamburg
310701.0,Melita Scarff,64454.16,yes,Germany,Hessen,Frankfurt
312064.0,Joycelyn Beltre,65249.98,yes,Germany,Sachsen,Dresden
312064.0,Joycelyn Beltre,65249.98,yes,Germany,Hessen,Frankfurt
313356.0,Gerald Rowell,69222.76,yes,Germany,Nordrhein-Westfalen,Dusseldorf
318595.0,Lashonda Briede,58764.02,yes,Germany,Nordrhein-Westfalen,Bonn
325309.0,Ellena Woodcox,176261.63999999998,yes,Germany,Bremen,Bremen
329285.0,Marietta Menist,66903.58,yes,Germany,Hamburg,Hamburg
331506.0,Korey Bombino,56843.14,yes,Germany,Nordrhein-Westfalen,Krefeld
334478.0,Nana Trider,132051.5,yes,Germany,Mecklenburg-Vorpommern,Schwerin
343148.0,Cathryn Antignani,151704.78,yes,Germany,Saarland,Saarbrucken
345829.0,Nola Bauce,54841.62,yes,Germany,Bayern,Aachen
347784.0,Jutta Brojakowski,90698.67,yes,Germany,Niedersachsen,Hannover
348600.0,Long Daudelin,50481.67,yes,Germany,Hessen,Frankfurt
348713.0,Milissa Nivens,51526.82,yes,Germany,Bremen,Bremen
351192.0,Nicole Gatesman,76730.22,yes,Germany,Hessen,Frankfurt
355243.0,Lani Deloney,52447.62,yes,Germany,Hessen,Frankfurt
356824.0,Maybell Raneses,78264.35,yes,Germany,Niedersachsen,Hannover
360406.0,Janelle Spivey,66946.7,yes,Germany,Nordrhein-Westfalen,Bonn
