Loyalty#,Customer Name,TotalLifetimeValue,alert,Country,Province or State,City
100823.0,Keturah Haas,122269.36,yes,United Kingdom,Greater London,London
108570.0,Carlota Boisjolie,60290.67,yes,United Kingdom,Reading,Robindale Avenue
112844.0,Aliza Steman,57755.91,yes,United Kingdom,West Midlands,Birmingham
121294.0,Serafina Alf,64539.7,yes,United Kingdom,Oxfordshire,Oxford
122599.0,Elene Staberg,51058.8,yes,United Kingdom,Greater London,London
131920.0,Katia Masar,51016.07,yes,United Kingdom,Reading,Robindale Avenue
132421.0,Gwenn Latty,51510.56,yes,United Kingdom,Oxfordshire,Oxford
139466.0,Rosette Matthees,64618.76,yes,United Kingdom,Greater London,London
146887.0,Zackary Ebenstein,64042.8,yes,United Kingdom,Greater London,London
151707.0,Elissa Sauchez,72414.18000000001,yes,United Kingdom,Reading,Back Lane
152424.0,Berta Lanuza,67907.27,yes,United Kingdom,Greater London,London
152754.0,Luanna Hazelett,127167.03,yes,United Kingdom,Reading,Robindale Avenue
160377.0,Christen Winek,55891.78,yes,United Kingdom,Brighton and Hove,Eley Drive
163815.0,Buck Kwaterski,128812.05,yes,United Kingdom,Greater London,London
169270.0,Tonisha Krail,52607.15,yes,United Kingdom,Brighton and Hove,Maldon Road
173253.0,Keturah Seaver,82150.86,yes,United Kingdom,Bristol,The Crescent
179151.0,Leon Kadow,57520.5,yes,United Kingdom,Greater London,London
180869.0,Marnie Smull,106677.0,yes,United Kingdom,West Midlands,Birmingham
180869.0,Marnie Smull,106677.0,yes,United Kingdom,Oxfordshire,Oxford
181943.0,Shila Heick,56972.14,yes,United Kingdom,Greater London,London
188306.0,Michaela Reaux,54031.41,yes,United Kingdom,West Midlands,Birmingham
192271.0,Olga Gruse,58388.74,yes,United Kingdom,Oxfordshire,Oxford
193336.0,Corey Ruther,82330.41,yes,United Kingdom,Greater London,London
195052.0,Beth Auer,69222.76,yes,United Kingdom,Oxfordshire,Oxford
197481.0,Shawnta Meador,63413.86,yes,United Kingdom,Hampshire,Southampton
199950.0,Rosamond Oregel,52590.12,yes,United Kingdom,Greater London,London
200734.0,Ilana Lagassie,52246.75,yes,United Kingdom,Greater London,London
202080.0,Norman Kerslake,77106.33,yes,United Kingdom,West Midlands,Birmingham
202582.0,Evelyn Mignogna,88236.87,yes,United Kingdom,Shropshire,Telford
210798.0,Treasa Durrani,70372.52,yes,United Kingdom,Hampshire,Southampton
222399.0,Stacy Gehlert,67975.62,yes,United Kingdom,Shropshire,Telford
230807.0,Lakendra Moller,72940.6,yes,United Kingdom,Shropshire,Telford
238009.0,Angeles Jaquins,56871.28,yes,United Kingdom,Brighton and Hove,Eley Drive
240717.0,Jimmie Servantes,165832.34999999998,yes,United Kingdom,Reading,Woodwaye
251685.0,Genaro Zerbel,50025.28,yes,United Kingdom,Greater London,London
254984.0,Rupert Volbrecht,70663.17,yes,United Kingdom,Reading,Stuart Close
256356.0,Slyvia Luhn,54651.65,yes,United Kingdom,Reading,Robindale Avenue
256356.0,Slyvia Luhn,54651.65,yes,United Kingdom,Brighton and Hove,Eley Drive
258296.0,Veola Kellish,105474.75,yes,United Kingdom,Greater London,London
261946.0,Brent Terwillegar,128893.67,yes,United Kingdom,Bristol,The Crescent
261966.0,Juliana Nulisch,98175.9,yes,United Kingdom,Greater London,London
263624.0,Floretta Sirnio,52394.82,yes,United Kingdom,Reading,Robindale Avenue
265746.0,Sara Milin,174621.38999999998,yes,United Kingdom,West Midlands,Birmingham
267795.0,Veola Ishibashi,102852.5,yes,United Kingdom,West Midlands,Birmingham
269729.0,Arthur Batis,115041.0,yes,United Kingdom,Buckinghamshire,Milton Keynes
270259.0,Wendie Eytcheson,132051.5,yes,United Kingdom,West Midlands,Birmingham
270800.0,Miquel Ostaba,125565.51,yes,United Kingdom,West Midlands,Birmingham
273923.0,Janae Olivarri,59353.62,yes,United Kingdom,West Midlands,Birmingham
280672.0,Juliana Erskin,64634.06,yes,United Kingdom,Greater London,London
285163.0,Shonta Pezzetti,94311.26,yes,United Kingdom,Brighton and Hove,Eley Drive
289841.0,Arline Schnepel,58753.88,yes,United Kingdom,Brighton and Hove,Bear Road
291085.0,Harriet Pavel,78730.6,yes,United Kingdom,Bristol,Lower Cheltenham Place
295265.0,Samatha Yago,64618.76,yes,United Kingdom,Buckinghamshire,Milton Keynes
296521.0,Hortensia Walth,81273.34,yes,United Kingdom,Bristol,The Crescent
296931.0,Brande Schnabel,66946.7,yes,United Kingdom,Greater London,London
301979.0,Janey Robak,75878.98,yes,United Kingdom,Hampshire,Southampton
314423.0,Nora Noecker,60556.19,yes,United Kingdom,Brighton and Hove,Eley Drive
316365.0,Fredric Chouteau,54393.56999999999,yes,United Kingdom,Oxfordshire,Oxford
324972.0,Denice Velten,67437.68,yes,United Kingdom,West Midlands,Birmingham
325747.0,Cameron Palinski,65286.16,yes,United Kingdom,Reading,Mayfield Drive
343305.0,Calista Dahlman,50327.43000000001,yes,United Kingdom,Greater London,London
344272.0,Verlene Mcchristion,61536.850000000006,yes,United Kingdom,West Midlands,Birmingham
344474.0,Yvone Kopelman,89920.26,yes,United Kingdom,Hampshire,Southampton
348358.0,Earlene Sorey,52562.46,yes,United Kingdom,Greater London,London
351192.0,Nicole Gatesman,76730.22,yes,United Kingdom,Oxfordshire,Oxford
352050.0,Caitlin Creggett,61183.22,yes,United Kingdom,Reading,Mayfield Drive
356824.0,Maybell Raneses,78264.35,yes,United Kingdom,Oxfordshire,Oxford
358346.0,Stacie Gillig,82206.48,yes,United Kingdom,Buckinghamshire,Milton Keynes
361906.0,Willette Mcthige,53791.8,yes,United Kingdom,Greater London,London
361995.0,Carlee Horvers,61850.19,yes,United Kingdom,Brighton and Hove,Eley Drive
368351.0,Jarrett Baudoin,52707.48,yes,United Kingdom,Reading,Woodwaye
377256.0,Carlena Dummermuth,61183.22,yes,United Kingdom,West Midlands,Birmingham
385776.0,Emanuel Gentis,59893.2,yes,United Kingdom,West Midlands,Birmingham
387934.0,Monte Levien,50187.14,yes,United Kingdom,Nottinghamshire,Nottingham
395273.0,Dale Holverson,82286.18,yes,United Kingdom,Bristol,Lower Cheltenham Place
396158.0,Karoline Birnberg,64139.76,yes,United Kingdom,Greater London,London
401206.0,Towanda Ellout,51018.0,yes,United Kingdom,Buckinghamshire,Milton Keynes
401413.0,Francesca Megan,116333.1,yes,United Kingdom,Greater London,London
405574.0,Devin Grenier,56902.05,yes,United Kingdom,Nottinghamshire,Nottingham
409862.0,Shirlee Storck,67746.36,yes,United Kingdom,Greater London,London
409991.0,Pasquale Dube,57427.67,yes,United Kingdom,Greater London,London
