Loyalty#,Customer Name,TotalLifetimeValue,alert,Country,Province or State,City
101544.0,Travis Hutching,64839.92,yes,United States,California,San Francisco
106067.0,Jamar Christan,72519.01999999999,yes,United States,California,San Diego
106067.0,Jamar Christan,72519.01999999999,yes,United States,California,Berkeley
106067.0,Jamar Christan,72519.01999999999,yes,United States,California,Los Angeles
106933.0,Colleen Colman,102270.12,yes,United States,Arkansas,Fayetteville
116286.0,Dorethea Dieteman,59976.61,yes,United States,Colorado,Denver
119737.0,Maragret Kornrumpf,51526.82,yes,United States,Alabama,Birmingham
122599.0,Elene Staberg,51058.8,yes,United States,Arizona,Tucson
127589.0,Sook Mainz,55579.38,yes,United States,California,San Francisco
137315.0,Shayla Frere,73225.96,yes,United States,Connecticut,Norwalk
137404.0,Simonne Pora,54269.4,yes,United States,California,San Diego
140432.0,Maia Effler,57581.84,yes,United States,Colorado,Boulder
140432.0,Maia Effler,57581.84,yes,United States,California,San Francisco
140920.0,Christian Marello,60361.68000000001,yes,United States,Colorado,Denver
145087.0,Jacqui Amicone,67746.36,yes,United States,California,San Diego
145521.0,Sung Tarpy,58120.93,yes,United States,Alabama,Birmingham
151870.0,Jammie Swim,107588.97,yes,United States,Connecticut,Hartford
152926.0,Casimira Badgley,70125.3,yes,United States,California,San Diego
159066.0,Jay Conliffe,55891.78,yes,United States,Alabama,Birmingham
159364.0,Gladys Phinazee,60885.08,yes,United States,Arkansas,Fayetteville
159934.0,Ida Chiarelli,52465.7,yes,United States,Florida,Miami
166364.0,Juliann Locantore,118200.57,yes,United States,Georgia,Atlanta
168236.0,Lara Odenheimer,53686.24,yes,United States,California,Pasadena
169290.0,Cindi Derider,78730.6,yes,United States,Arizona,Phoenix
172842.0,Jean Dermer,76110.42,yes,United States,Delaware,Wilmington
172978.0,Flor Kuzmanic,52394.82,yes,United States,Connecticut,Norwalk
176826.0,Carter Jakobsen,51163.22,yes,United States,Colorado,Boulder
177255.0,Kena Burkhard,58594.66,yes,United States,California,Los Angeles
177609.0,Elfreda Bolland,73910.91,yes,United States,Colorado,Boulder
183041.0,Carol Sonne,65922.3,yes,United States,California,San Diego
189225.0,Olene Keck,66946.7,yes,United States,California,Los Angeles
190038.0,Nicky Sarabia,58753.88,yes,United States,California,San Francisco
193278.0,Rosetta Ricucci,54127.44,yes,United States,California,Oakland
194441.0,Corinne Keels,66705.03,yes,United States,Arizona,Phoenix
196757.0,Meagan Kovacs,58310.88,yes,United States,California,Los Angeles
198165.0,Retha Goffinet,121112.38,yes,United States,Colorado,Boulder
200734.0,Ilana Lagassie,52246.75,yes,United States,Florida,Orlando
203000.0,Wenona Perkins,72586.3,yes,United States,Arkansas,Fayetteville
209859.0,Aleisha Odham,52033.06,yes,United States,Connecticut,Hartford
217304.0,Harriette Earvin,57244.62,yes,United States,California,Los Angeles
220000.0,Lilla Nicklaus,69222.76,yes,United States,California,Los Angeles
223741.0,Arnoldo Cullar,64196.64,yes,United States,California,Los Angeles
224293.0,Lecia Diskind,61850.19,yes,United States,Colorado,Boulder
